name	url	id	slug	picture_url	price	score_general	score_games	score_mobility	weight	power_adapter_power	operating_system_family_name	screen_size_value	screen_resolution_unicode	screen_rr_value	battery_mwh	default_bucket	processor_unicode	processor_f_value	processor_thread_count_name	processor_p_core_count	processor_thread_count	processor_tdp	processor_speed_score	main_gpu_name	main_gpu_speed_score	ram_quantity_value	ram_frequency_value	ram_type_name	sd_capacity_value	sd_rpm_value	sd_drive_type_name	storage_drives_count	gpus_count
Dell Precision 3591 [P3591U932G1TBGW11P3PSPXCT]	https://publicapi.solotodo.com/products/250356/	250356	dell-precision-3591-p3591u932g1tbgw11p3pspxct	https://media.solotodo.com/media/products/1926411_picture_1718637013.jpg	3045788	589	433	401	1790	130	Windows 11	15.6	1920x1080	60	0	1935219	Intel Core Ultra 9 185H	3900	icosidyo-core	6	22	45.0	29239	NVIDIA RTX 2000 Ada (8 GB)	15351	32.0	5600	DDR5	1000	0	SSD	1	2
Lenovo ThinkBook 13s G2 ITL [20V9006TCL]	https://publicapi.solotodo.com/products/112693/	112693	lenovo-thinkbook-13s-g2-itl-20v9006tcl	https://media.solotodo.com/media/products/1402655_picture_1622999784.png	899990	256	185	696	1260	65	Windows 10	13.3	2560x1600	60	56000	1402655	Intel Core i7-1165G7	2800	Octa-core	4	8	12.0	11752	Intel Iris Xe Graphics G7 96EUs (Integrada)	5083	16.0	4266	LPDDR4X	512	0	SSD	1	1
Lenovo ThinkPad L15 Gen 2 [20X4S9R300]	https://publicapi.solotodo.com/products/152524/	152524	lenovo-thinkpad-l15-gen-2-20x4s9r300	https://media.solotodo.com/media/products/1650452_picture_1664964093.jpg	1019990	185	131	373	1980	65	Windows 10	15.6	1920x1080	60	45000	1650452	Intel Core i5-1135G7	2400	Octa-core	4	8	15.0	10142	Intel Iris Xe Graphics G7 80EUs (Integrada)	3816	8.0	3200	DDR4	256	0	SSD	1	1
Dell Inspiron 15 3502 [9GY76]	https://publicapi.solotodo.com/products/127480/	127480	dell-inspiron-15-3502-9gy76	https://media.solotodo.com/media/products/1510349_picture_1651580595.webp	279990	47	26	495	1830	45	Windows 10	15.6	1366x768	60	42000	1510349	Intel Celeron N4020	1100	Dual-core	2	2	6.0	1705	Intel UHD Graphics 600 (Integrada)	448	4.0	2400	DDR4	128	0	SSD	1	1
HP Pavilion Aero 13-BE2000LA [827D6LA]	https://publicapi.solotodo.com/products/241658/	241658	hp-pavilion-aero-13-be2000la-827d6la	https://media.solotodo.com/media/products/1907717_picture_1714029855.jpg	699990	318	191	635	1000	45	Windows 11	13.3	1920x1200	60	43000	1907717	AMD Ryzen 5 7535U	2900	Dodeca-core	6	12	28.0	16386	AMD Radeon 660M (Integrada)	4487	16.0	6400	LPDDR5	512	0	SSD	1	1
Lenovo Yoga Slim 7 ProX 14ARH7 [82V20003US]	https://publicapi.solotodo.com/products/246049/	246049	lenovo-yoga-slim-7-prox-14arh7-82v20003us	https://media.solotodo.com/media/products/1633403_picture_1660236959.png	1079997	521	370	507	1450	100	Windows 11	14.5	3072x1920	120	70000	1921353	AMD Ryzen 9 6900HS	3300	Hexadeca-core	8	16	35.0	24139	NVIDIA GeForce RTX 3050 (4 GB)	12674	32.0	6400	LPDDR5	1000	0	SSD	1	2
HP Pavilion x360 14-EK0003LA [8D0D8LA]	https://publicapi.solotodo.com/products/237017/	237017	hp-pavilion-x360-14-ek0003la-8d0d8la	https://media.solotodo.com/media/products/1892402_picture_1709788320.png	644990	254	150	623	1510	45	Windows 11	14.0	1920x1080	60	43000	1892402	Intel Core i5-1235U	900	Dodeca-core	2	12	15.0	15354	Intel Iris Xe Graphics G7 80EUs (Integrada)	3816	8.0	3200	DDR4	512	0	SSD	1	1
Lenovo ThinkPad L14 [20U6S4F000]	https://publicapi.solotodo.com/products/147277/	147277	lenovo-thinkpad-l14-20u6s4f000	https://media.solotodo.com/media/products/1627130_picture_1658656487.jpg	729990	184	106	610	1600	65	Windows 11	14.0	1366x768	60	0	1627130	AMD Ryzen 3 PRO 4450U	2500	Octa-core	4	8	15.0	10097	AMD Radeon RX Vega 5 (Integrada)	2438	8.0	3200	DDR4	512	0	SSD	1	1
HP 14-DQ0506LA [6C230LA]	https://publicapi.solotodo.com/products/156126/	156126	hp-14-dq0506la-6c230la	https://media.solotodo.com/media/products/1670907_picture_1669057657.jpg	425531	84	42	731	1460	45	Windows 11	14.0	1366x768	60	41000	1670907	Intel Pentium Silver N5030	1100	Quad-core	4	4	5.0	2564	Intel UHD Graphics 605 (Integrada)	434	8.0	2400	DDR4	256	0	SSD	1	1
Lenovo ThinkPad L14 Gen 5 [21L6CTO1WWCL1]	https://publicapi.solotodo.com/products/250840/	250840	lenovo-thinkpad-l14-gen-5-21l6cto1wwcl1	https://media.solotodo.com/media/products/1936591_picture_1721749154.png	908923	268	166	546	1360	45	Windows 11	14.0	1920x1200	60	46500	1936591	AMD Ryzen 5 7535U	2900	Dodeca-core	6	12	28.0	16386	AMD Radeon 660M (Integrada)	4487	8.0	5600	DDR5	256	0	SSD	1	1
Dell Inspiron [i7630-7582SL]	https://publicapi.solotodo.com/products/242058/	242058	dell-inspiron-i7630-7582sl	https://media.solotodo.com/media/products/1908409_picture_1714405944.jpg	1599990	470	633	470	2200	0	Windows 11	13.0	1920x1080	60	0	1908409	Intel Core i7-1360P	1600	Hexadeca-core	4	16	28.0	20269	NVIDIA GeForce RTX 4060 (8 GB)	27681	32.0	4800	DDR5	1000	0	SSD	1	2
Lenovo Yoga Slim 7 14ARE05 [82A2007KCL]	https://publicapi.solotodo.com/products/88045/	88045	lenovo-yoga-slim-7-14are05-82a2007kcl	https://media.solotodo.com/media/products/1249169_picture_1603375975.jpg	999990	199	118	650	1330	65	Windows 10	14.0	1920x1080	60	60700	1249169	AMD Ryzen 5 4500U	2300	Six-core	6	6	15.0	11236	AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)	2865	8.0	4266	LPDDR4X	256	0	SSD	1	1
Lenovo IdeaPad Gaming 3 15ACH6 [82K20276CL]	https://publicapi.solotodo.com/products/231739/	231739	lenovo-ideapad-gaming-3-15ach6-82k20276cl	https://media.solotodo.com/media/products/1483766_picture_1637750722.jpg	678990	195	233	332	2250	135	Windows 11	15.6	1920x1080	60	45000	1872934	AMD Ryzen 5 5500H	3300	Octa-core	4	8	45.0	10924	NVIDIA GeForce RTX 2050 (4 GB)	9166	8.0	3200	DDR4	512	0	SSD	1	1
Lenovo ThinkPad X1 Yoga Gen 6 [20XYX002US]	https://publicapi.solotodo.com/products/248592/	248592	lenovo-thinkpad-x1-yoga-gen-6-20xyx002us	https://media.solotodo.com/media/products/1418017_picture_1625681661.png	749990	256	185	640	1400	65	Windows 10	14.0	1920x1200	60	57000	1929495	Intel Core i7-1165G7	2800	Octa-core	4	8	12.0	11752	Intel Iris Xe Graphics G7 96EUs (Integrada)	5083	16.0	4266	LPDDR4X	1000	0	SSD	1	1
ASUS ExpertBook B1402CVA-NK1496X [90NX06W1-M01WD0]	https://publicapi.solotodo.com/products/253518/	253518	asus-expertbook-b1402cva-nk1496x-90nx06w1-m01wd0	https://media.solotodo.com/media/products/1787987_picture_1690487366.png	941538	308	199	631	1460	65	Windows 11	14.0	1920x1080	60	42000	1948937	Intel Core i7-1355U	1700	Dodeca-core	2	12	15.0	15637	Intel Iris Xe Graphics G7 96EUs (Integrada)	5083	16.0	3200	DDR4	1000	0	SSD	1	1
